Time,Regime
2025-03-17 00:05:21.292643802 +0530 IST,2
2025-03-17 00:05:22.292257189 +0530 IST,2
2025-03-17 00:05:23.292133726 +0530 IST,2
2025-03-17 00:05:24.292257067 +0530 IST,2
2025-03-17 00:05:25.292115512 +0530 IST,2
2025-03-17 00:05:26.292410672 +0530 IST,2
2025-03-17 00:05:27.292355565 +0530 IST,2
2025-03-17 00:05:28.292569139 +0530 IST,2
2025-03-17 00:05:29.292154317 +0530 IST,2
2025-03-17 00:05:30.292207776 +0530 IST,2
2025-03-17 00:05:31.292271631 +0530 IST,2
2025-03-17 00:05:32.292424268 +0530 IST,2
2025-03-17 00:05:33.292468115 +0530 IST,2
2025-03-17 00:05:34.292547024 +0530 IST,2
2025-03-17 00:05:36.292312393 +0530 IST,2
2025-03-17 00:05:37.292511634 +0530 IST,2
2025-03-17 00:05:38.292043798 +0530 IST,2
2025-03-17 00:05:39.292127549 +0530 IST,2
2025-03-17 00:05:40.292267176 +0530 IST,2
2025-03-17 00:05:41.292387592 +0530 IST,2
2025-03-17 00:05:42.292210796 +0530 IST,2
2025-03-17 00:05:43.292077381 +0530 IST,2
2025-03-17 00:05:44.292527344 +0530 IST,2
2025-03-17 00:05:45.292325988 +0530 IST,2
2025-03-17 00:05:46.292180684 +0530 IST,2
2025-03-17 00:05:47.292314933 +0530 IST,2
2025-03-17 00:05:48.292476905 +0530 IST,2
2025-03-17 00:05:49.292302045 +0530 IST,0
2025-03-17 00:05:50.292326904 +0530 IST,0
2025-03-17 00:05:51.292189956 +0530 IST,0
2025-03-17 00:05:52.292319078 +0530 IST,2
2025-03-17 00:05:53.292303118 +0530 IST,2
2025-03-17 00:05:54.29243861 +0530 IST,2
2025-03-17 00:05:55.29230488 +0530 IST,2
2025-03-17 00:05:56.292454338 +0530 IST,2
2025-03-17 00:05:57.292212977 +0530 IST,2
2025-03-17 00:05:58.292532901 +0530 IST,2
2025-03-17 00:05:59.292083786 +0530 IST,2
2025-03-17 00:06:00.292387834 +0530 IST,2
2025-03-17 00:06:01.292661291 +0530 IST,2
2025-03-17 00:06:02.292349678 +0530 IST,2
2025-03-17 00:06:03.292359929 +0530 IST,2
2025-03-17 00:06:04.292501348 +0530 IST,2
2025-03-17 00:06:05.292214158 +0530 IST,2
2025-03-17 00:06:06.292216997 +0530 IST,2
2025-03-17 00:06:07.292348516 +0530 IST,2
2025-03-17 00:06:08.292240618 +0530 IST,2
2025-03-17 00:06:09.292098207 +0530 IST,2
2025-03-17 00:06:10.292329149 +0530 IST,2
2025-03-17 00:06:11.292337139 +0530 IST,2
2025-03-17 00:06:12.292611154 +0530 IST,2
2025-03-17 00:06:13.292251799 +0530 IST,2
2025-03-17 00:06:14.292349929 +0530 IST,2
2025-03-17 00:06:15.292174016 +0530 IST,2
2025-03-17 00:06:16.292255718 +0530 IST,2
2025-03-17 00:06:17.29212741 +0530 IST,2
2025-03-17 00:06:18.292349432 +0530 IST,2
2025-03-17 00:06:19.292582806 +0530 IST,2
2025-03-17 00:06:20.292472171 +0530 IST,2
2025-03-17 00:06:21.29215005 +0530 IST,2
2025-03-17 00:06:22.292261621 +0530 IST,2
2025-03-17 00:06:23.292343052 +0530 IST,2
2025-03-17 00:06:24.292382752 +0530 IST,2
2025-03-17 00:06:25.292496372 +0530 IST,2
2025-03-17 00:06:26.292254632 +0530 IST,2
2025-03-17 00:06:27.292252611 +0530 IST,2
2025-03-17 00:06:28.292225886 +0530 IST,2
2025-03-17 00:06:29.292094381 +0530 IST,2
2025-03-17 00:06:30.292253258 +0530 IST,2
2025-03-17 00:06:31.292792243 +0530 IST,2
2025-03-17 00:06:32.292516977 +0530 IST,2
2025-03-17 00:06:33.292336996 +0530 IST,2
2025-03-17 00:06:34.292469806 +0530 IST,2
